transcript_id,SRR633516,SRR633540,SRR633541,SRR633544,SRR633545
MSTRG.93.3,0,0,26,565,3
ENSDART00000137670,1,0,6,1,0
ENSDART00000114035,43,25,24,47,42
ENSDART00000022307,465,307,291,227,181
ENSDART00000141973,2,6,0,5,5
ENSDART00000103755,236,152,612,0,653
MSTRG.93.4,3672,2309,1555,1777,1523
ENSDART00000126172,2,2,1,5,2
ENSDART00000144185,1,1,1,3,1
ENSDART00000103754,3,2,1,0,1
ENSDART00000109756,403,231,227,28,18
ENSDART00000150863,561,365,314,464,392
ENSDART00000166779,4,1,3,1,10
ENSDART00000168117,144,97,80,68,67
MSTRG.96.2,4,0,0,0,0
ENSDART00000138891,0,6,7,0,0
ENSDART00000179970,0,0,0,0,0
ENSDART00000092324,90,57,66,151,147
ENSDART00000037036,0,123,68,64,362
ENSDART00000188295,0,76,123,136,100
ENSDART00000136060,0,0,0,0,0
ENSDART00000132675,0,0,0,0,0
ENSDART00000145809,0,0,0,0,0
ENSDART00000139723,0,0,0,0,0
MSTRG.99.2,552,158,128,341,0
ENSDART00000144559,2,2,1,4,1
ENSDART00000024358,22,14,16,7,6
ENSDART00000126468,15,7,0,0,0
ENSDART00000092277,235,113,41,65,51
MSTRG.100.2,67,0,141,259,260
ENSDART00000140936,1,4,3,1,1
ENSDART00000146473,14,60,6,6,1
MSTRG.101.1,59,41,33,80,77
ENSDART00000141653,0,0,0,0,0
ENSDART00000134199,0,0,0,0,0
ENSDART00000144454,0,0,0,0,0
ENSDART00000145378,0,0,0,0,0
ENSDART00000108816,0,0,0,0,0
ENSDART00000131254,9,0,0,0,0
MSTRG.103.1,20,8,11,0,0
MSTRG.103.2,46,39,100,41,37
MSTRG.103.4,72,51,0,119,122
ENSDART00000127329,138,100,90,112,95
MSTRG.103.7,9,6,8,0,0
ENSDART00000183870,0,0,0,2,0
MSTRG.104.1,67,43,40,42,34
MSTRG.105.1,323,197,179,218,226
ENSDART00000166620,126,67,64,87,91
ENSDART00000176163,0,0,0,0,0
ENSDART00000109356,112,78,53,87,99
ENSDART00000103701,0,0,0,4,0
ENSDART00000138919,0,0,0,0,0
ENSDART00000147638,49,25,32,20,17
ENSDART00000144641,195,150,118,176,182
ENSDART00000152383,0,0,3,0,0
ENSDART00000145822,0,0,0,0,0
ENSDART00000182953,0,0,0,0,0
ENSDART00000092118,80,63,48,33,29
ENSDART00000127426,0,0,0,0,0
ENSDART00000092114,98,49,47,66,54
MSTRG.113.1,0,0,0,3,0
ENSDART00000123563,0,0,0,0,10
ENSDART00000148276,0,0,0,0,0
ENSDART00000147770,0,0,0,0,0
ENSDART00000016139,149,89,97,511,506
ENSDART00000135112,8,9,4,25,13
ENSDART00000132217,2,2,4,12,9
ENSDART00000015732,83343,45870,43271,44599,42165
