gene_id,SRR633516,SRR633540,SRR633541,SRR633544,SRR633545
MSTRG.413|qdprb1,20,19,14,7,11
MSTRG.412|BX908795.1,1,0,0,0,0
MSTRG.412|gtf2e2,133,93,76,102,103
MSTRG.414|SMIM18,27,22,16,12,8
MSTRG.415|adgrl3.1,811,515,461,590,541
MSTRG.415,4,8,4,5,0
MSTRG.416|si:dkey-92j12.5,217,130,130,74,63
MSTRG.416,0,0,0,1,0
MSTRG.418|CR759875.1,0,0,1,1,0
MSTRG.417|rfc1,380,165,175,182,114
MSTRG.417|rpl9,8139,5399,4949,4594,4240
MSTRG.419|lias,77,46,49,74,74
MSTRG.420|ugdh,252,176,156,306,289
MSTRG.421|smim14,75,49,45,60,48
MSTRG.422|ube2kb,223,141,145,134,117
